"State/UT/All-India","Sector","Fractile.class.of.MPCE","1","2","3","4","5","6","7","8","9","10+"
"Andhra Pradesh","Rural","0-5%",12.6,14.3,9.3,21.4,18.5,10.9,5.2,3.1,"1.7","2.7"
"Andhra Pradesh","Rural","5-10%",6.2,13.6,17.2,21,21.3,11.7,3.1,1.5,"2.2","2.2"
"Andhra Pradesh","Rural","10-20%",5.6,16.7,12.9,26.4,21.4,9.7,4.6,1.5,"0.9","0.5"
"Andhra Pradesh","Rural","20-30%",8.1,18,13.3,30.2,16.2,9.6,2.4,0.7,"0.6","0.9"
"Andhra Pradesh","Rural","30-40%",8.3,16.2,19.1,32.2,14.8,6.2,2.2,0.9,"0.1","0"
"Andhra Pradesh","Rural","40-50%",9.5,17.5,18.6,32.7,11.7,6,2.5,1.4,"0","0.2"
"Andhra Pradesh","Rural","50-60%",10.2,20.4,24.7,27.3,11.1,4.4,0.8,0.2,"0.4","0.3"
"Andhra Pradesh","Rural","60-70%",10.1,28.6,17.6,30.5,9.3,3.1,0.4,0,"0.1","0.2"
"Andhra Pradesh","Rural","70-80%",15.3,25.8,22,25.1,6.6,4.3,0.6,0.1,"0.1","0.2"
"Andhra Pradesh","Rural","80-90%",22,29.1,19,23,5.1,1.5,0.3,0,"0","0"
"Andhra Pradesh","Rural","90-95%",16.4,29.2,29.6,18.9,3.8,1.5,0,0,"0.4","0.3"
"Andhra Pradesh","Rural","95-100%",31,36.7,14.3,14.9,2,0.7,0,0.2,"0","0.2"
"Andhra Pradesh","Urban","0-5%",15.2,6.3,5,19.4,31.4,11,8.5,2.4,"0","0.7"
"Andhra Pradesh","Urban","5-10%",24.5,10.7,11.7,19.5,14.4,12.3,2.9,1.5,"1.5","1"
"Andhra Pradesh","Urban","10-20%",15.6,9.4,12.2,32.3,16.5,8.5,2.9,1.9,"0.4","0.3"
"Andhra Pradesh","Urban","20-30%",10.6,11.8,16.1,32.8,17,7.8,2.5,0.7,"0.8","0"
"Andhra Pradesh","Urban","30-40%",10.9,9.3,19.4,35.8,11.8,8.2,2.5,1.1,"0.5","0.5"
"Andhra Pradesh","Urban","40-50%",8,16.9,21.6,37.7,11.9,3.2,0.2,0.2,"0.3","0.1"
"Andhra Pradesh","Urban","50-60%",8.1,22.3,21.7,36.9,9.2,1.5,0,0,"0","0.3"
"Andhra Pradesh","Urban","60-70%",8.9,20.8,22.8,35,7.4,3.9,0.7,0.3,"0","0.2"
"Andhra Pradesh","Urban","70-80%",17.2,23,25,28.2,4.9,1.5,0,0.1,"0","0"
"Andhra Pradesh","Urban","80-90%",25.7,25.9,22.7,20.8,4.4,0.5,0,0,"0","0"
"Andhra Pradesh","Urban","90-95%",35.4,29.1,15.3,14.1,5.7,0.3,0,0,"0","0"
"Andhra Pradesh","Urban","95-100%",48.8,20.3,17,9,4.5,0,0,0,"0","0.3"
"Arunachal Pradesh","Rural","0-5%",0,0,0,3.1,18,17.4,15.7,15.6,"14.4","15.7"
"Arunachal Pradesh","Rural","5-10%",0,0,1.9,13,31,21.9,6,14.4,"2","9.8"
"Arunachal Pradesh","Rural","10-20%",0,3.8,2.7,14.2,21.5,20.6,15.2,6.5,"8.5","6.8"
"Arunachal Pradesh","Rural","20-30%",0,5.8,8.8,20.3,20.7,19.6,11.9,6.1,"2.7","4.1"
"Arunachal Pradesh","Rural","30-40%",1.3,4.4,11.6,25.3,13.4,11.1,14.1,8.1,"4","6.6"
"Arunachal Pradesh","Rural","40-50%",1.4,3.8,11.2,17.6,20.5,18.6,14.5,9.1,"2.6","1"
"Arunachal Pradesh","Rural","50-60%",2.5,4.2,9.3,22,21.8,18.1,13.1,5.5,"1.9","1.6"
"Arunachal Pradesh","Rural","60-70%",0.8,6.4,11.4,21.4,25.9,21.6,7.2,2.3,"0.1","2.9"
"Arunachal Pradesh","Rural","70-80%",2.1,10.2,18.7,24.4,19.3,12.9,10,2,"0.3","0.1"
"Arunachal Pradesh","Rural","80-90%",2.2,10.6,26.1,31.8,19,3.6,4,0.9,"1.2","0.4"
"Arunachal Pradesh","Rural","90-95%",2.3,28.2,26.8,27.2,13.3,1.3,0.7,0,"0.1","0"
"Arunachal Pradesh","Rural","95-100%",34.6,28.1,17.3,14.3,4.5,0.7,0.4,0,"0","0"
"Arunachal Pradesh","Urban","0-5%",0,0,17.4,7.4,14.1,25.2,16.8,10.9,"6.1","2.1"
"Arunachal Pradesh","Urban","5-10%",0,3.5,9.1,26.9,20.6,13.7,11.5,4.8,"1.2","8.7"
"Arunachal Pradesh","Urban","10-20%",1.3,2.5,8.7,11.6,35.8,17.5,10.5,3.8,"4.1","4.2"
"Arunachal Pradesh","Urban","20-30%",1.1,1.1,11,30.9,32.9,10.1,4.7,3.3,"3.4","1.5"
"Arunachal Pradesh","Urban","30-40%",0,1.3,15.4,32.4,30.5,10.6,3,2.8,"2.1","2"
"Arunachal Pradesh","Urban","40-50%",0,7.6,23.8,38.4,16.4,9.5,3.5,0.6,"0","0"
"Arunachal Pradesh","Urban","50-60%",1,9.2,24.3,27.2,18.5,15.5,1.5,1.9,"0.7","0.3"
"Arunachal Pradesh","Urban","60-70%",5.4,10.5,33.6,28.7,12.7,4.1,4.1,0,"0","0.8"
"Arunachal Pradesh","Urban","70-80%",5.2,25.8,27.5,19.8,14,5.9,1.5,0.4,"0","0"
"Arunachal Pradesh","Urban","80-90%",13.8,35.7,25.2,18.1,6.2,1,0,0,"0","0"
"Arunachal Pradesh","Urban","90-95%",44.7,33.9,13,4.8,2.4,1.3,0,0,"0","0"
"Arunachal Pradesh","Urban","95-100%",78.5,16.7,2.7,1,0.5,0.6,0,0,"0","0"
"Assam","Rural","0-5%",0.5,0,1.2,8.8,17.7,13.8,17.6,13.6,"11.3","15.4"
"Assam","Rural","5-10%",0,0.9,2.9,13.9,19.5,22.4,17.7,11.5,"4.9","6.2"
"Assam","Rural","10-20%",0,0.3,4.3,14.2,28.7,23.6,10.8,7.5,"5","5.6"
"Assam","Rural","20-30%",0.4,2.5,5.3,22.8,27.1,18.6,10,5.7,"3.5","3.9"
"Assam","Rural","30-40%",0.3,4.5,7.6,25.1,26.6,18.6,8.1,4.3,"3.1","1.7"
"Assam","Rural","40-50%",0.5,3.9,11.6,29.5,22.9,17.6,8.3,3.9,"1","0.9"
"Assam","Rural","50-60%",1.4,4.6,16.7,29.2,25.8,11.8,4.2,2.7,"2.5","1.1"
"Assam","Rural","60-70%",0.9,7.2,19.8,35.7,20.3,8.8,3.5,2.5,"0.8","0.4"
"Assam","Rural","70-80%",1.2,8,23.3,34.6,17.4,9.3,3.2,1.7,"0.8","0.5"
"Assam","Rural","80-90%",3,12.9,25.9,34.8,15,5.4,1.3,1,"0.5","0.2"
"Assam","Rural","90-95%",5.9,14.8,33,32,9,3.1,1.7,0.4,"0","0"
"Assam","Rural","95-100%",14.1,20.9,31.9,23,6.9,2.7,0.3,0.2,"0","0"
"Assam","Urban","0-5%",0,1.6,2.8,19.9,31.6,16.8,11.5,1.6,"6","8.2"
"Assam","Urban","5-10%",0,0,7,25.1,29.3,16.8,7.1,8.1,"4.1","2.6"
"Assam","Urban","10-20%",0.3,0.8,8,32.2,31.6,16.5,4.5,2.6,"0.9","2.6"
"Assam","Urban","20-30%",0.4,4.2,19.2,38.7,17.7,12,3.2,3.2,"0.8","0.6"
"Assam","Urban","30-40%",1.9,6,18.6,38.6,21.3,6.5,2.2,1.5,"0.9","2.4"
"Assam","Urban","40-50%",0,5.8,27,38.6,17.2,8.3,2,0.3,"0","0.8"
"Assam","Urban","50-60%",3.4,12,28.8,39.1,12.1,1.4,2.1,0.3,"0.7","0.2"
"Assam","Urban","60-70%",2.8,12.9,28.3,36.1,11.9,5.2,0.7,0,"1","1.1"
"Assam","Urban","70-80%",7.2,18.1,29.4,30.6,7.3,5.4,0.7,0.5,"0","0.8"
"Assam","Urban","80-90%",12.6,17.7,34.3,21.1,10.8,2,0.7,0.4,"0","0.4"
"Assam","Urban","90-95%",15.9,31.7,33.3,15.1,3,0,0,1,"0","0"
"Assam","Urban","95-100%",48.9,19.7,14.2,13.6,2.8,0.9,0,0,"0","0"
"Bihar","Rural","0-5%",0.1,1.8,1.9,4.8,14,21,16.1,15,"7.9","17.3"
"Bihar","Rural","5-10%",0.1,1.4,4.9,8,18.1,25.9,17,10.2,"4.8","9.6"
"Bihar","Rural","10-20%",0.3,2.2,3,10,25.3,24.3,13.9,9.3,"4.2","7.4"
"Bihar","Rural","20-30%",0.1,1.7,4,16.5,29.2,20,12.6,6.4,"3.7","5.8"
"Bihar","Rural","30-40%",0.3,2.4,5.2,17.5,28.5,21.8,11.3,6.7,"2.8","3.4"
"Bihar","Rural","40-50%",0.1,3.9,6.9,19,27,20.4,11.4,5.5,"2.5","3.3"
"Bihar","Rural","50-60%",0.6,4.5,10.4,23,26.3,19.1,7.4,4.1,"1.9","2.8"
"Bihar","Rural","60-70%",0.6,7.1,15.4,24.6,24.7,14.1,7.5,3.3,"1.2","1.5"
"Bihar","Rural","70-80%",0.9,9.9,16.9,25.8,24.8,12.1,5.7,1.9,"0.7","1.3"
"Bihar","Rural","80-90%",1.7,14.9,20.6,26.4,22,8.8,2.9,1.3,"0.3","1"
"Bihar","Rural","90-95%",3.3,24.2,20.6,25.1,16.6,5.8,1.9,1.5,"0.6","0.5"
"Bihar","Rural","95-100%",6.6,35.2,21.4,20.3,10.3,3.9,1,0.3,"0.6","0.4"
"Bihar","Urban","0-5%",0,0.7,0.8,1.7,18,17.4,19.1,12.6,"9.8","20"
"Bihar","Urban","5-10%",0,0.7,0.7,11,28.1,21.4,18.5,4.3,"6.7","8.7"
"Bihar","Urban","10-20%",0.9,2.1,3.8,12.5,23.7,21.5,13.8,9.3,"3.6","8.9"
"Bihar","Urban","20-30%",0,2.2,6.4,15.7,25.9,22.8,10.5,7.5,"2.6","6.4"
"Bihar","Urban","30-40%",1,2.4,9,21.5,25.2,19.4,10.7,5.2,"2.5","3.2"
"Bihar","Urban","40-50%",0.1,4.6,9.9,24.1,25,18.2,5.9,5,"3.7","3.5"
"Bihar","Urban","50-60%",0.3,6,11.4,19.9,32.1,14.3,7.9,2.7,"2.8","2.7"
"Bihar","Urban","60-70%",0.2,7.2,13.4,25.7,27.2,14.6,5.3,2,"2.6","1.7"
"Bihar","Urban","70-80%",1,9.8,13.2,31.4,23.6,13.1,4.6,1.5,"0.7","1.2"
"Bihar","Urban","80-90%",4.1,18.8,16.2,31.2,14.2,8.6,2.5,2.2,"0.9","1.4"
"Bihar","Urban","90-95%",9.5,18.9,14.6,32.8,15,5.4,1.1,1.5,"0","1"
"Bihar","Urban","95-100%",27.2,21.3,18.1,21.8,8.6,2.3,0.3,0,"0","0.5"
"Chhattisgarh","Rural","0-5%",9,0.7,2.7,11.3,14.1,19,16.9,6.9,"11.8","7.5"
"Chhattisgarh","Rural","5-10%",0,5.3,5.8,22.8,20.4,15.6,16.8,6.8,"3.3","3.1"
"Chhattisgarh","Rural","10-20%",2.1,6.4,6.1,18.4,21.4,18.9,14.7,6.1,"2.1","3.8"
"Chhattisgarh","Rural","20-30%",2.2,7.2,13.5,20.3,21.5,14.8,9.7,7.6,"2.5","0.6"
"Chhattisgarh","Rural","30-40%",5.3,10.1,6.6,19.9,29.6,12.7,9.2,2.9,"1.8","2"
"Chhattisgarh","Rural","40-50%",3.8,9.3,13.4,20.4,19.6,15.9,6.7,5.3,"0.7","4.9"
"Chhattisgarh","Rural","50-60%",6.6,6.8,12.2,25.5,17.9,17.4,6.6,3.8,"1.9","1.2"
"Chhattisgarh","Rural","60-70%",6.8,9.6,12.3,29,27.2,6.9,4.2,1.5,"0.9","1.6"
"Chhattisgarh","Rural","70-80%",5.9,15.8,16.8,29.4,16.7,6,4.3,3.3,"0.7","1.1"
"Chhattisgarh","Rural","80-90%",7.1,16.8,18.6,25.9,18.7,6.7,2.3,0.9,"1.4","1.6"
"Chhattisgarh","Rural","90-95%",13.9,19.2,12.6,26.2,13.6,7.6,2.8,0.4,"1.5","2.3"
"Chhattisgarh","Rural","95-100%",29.8,21,15.3,16.9,12,2.4,1.3,0.5,"0.7","0"
"Chhattisgarh","Urban","0-5%",2.1,7,5,13.7,27.4,12.3,11.4,5.9,"5.6","9.5"
"Chhattisgarh","Urban","5-10%",3.8,7.2,5.8,12.7,24.5,13,14.1,14.6,"3.2","1"
"Chhattisgarh","Urban","10-20%",3.5,7.1,10.3,31.1,25.6,12.3,5.3,1.1,"2","1.7"
"Chhattisgarh","Urban","20-30%",0.9,8,17.3,27.9,23.5,9.6,7.6,2.5,"1.8","0.9"
"Chhattisgarh","Urban","30-40%",4.5,7.3,10.8,33,23.6,8.1,6.8,4.1,"0.6","1.2"
"Chhattisgarh","Urban","40-50%",11.5,3.6,9.2,38.1,17.7,11.9,4.8,2.3,"0","0.8"
"Chhattisgarh","Urban","50-60%",9.6,8.9,15.3,31.4,18.8,9.5,3.6,1.6,"0.4","1"
"Chhattisgarh","Urban","60-70%",9.6,8.2,14.9,37.1,11.9,7.7,3.5,2.7,"1","3.4"
"Chhattisgarh","Urban","70-80%",4,13.2,24.1,29.7,16.3,5.3,4.2,2,"1","0.3"
"Chhattisgarh","Urban","80-90%",8.5,19.5,21.5,24.6,18.8,4.2,1.9,0.5,"0.2","0.3"
"Chhattisgarh","Urban","90-95%",12.6,19,17.8,28.5,11.6,5.7,2.5,1.6,"0","0.8"
"Chhattisgarh","Urban","95-100%",36.2,15.2,20.7,17.9,7.5,1.6,0.9,0,"0","0"
"Delhi","Rural","0-5%",10.1,0,8.6,0,10.1,10.3,43.4,7.6,"0","10.1"
"Delhi","Rural","5-10%",0,0,8.3,0,59.3,29.2,0,3.3,"0","0"
"Delhi","Rural","10-20%",0,0,4.3,21.7,39.8,20,2.6,5.6,"3.7","2.2"
"Delhi","Rural","20-30%",0,0,2.4,63.3,0,17.1,11.8,0,"0","5.3"
"Delhi","Rural","30-40%",0,5.1,14.7,28.4,23.3,13.3,8.4,3.3,"0","3.4"
"Delhi","Rural","40-50%",0,7.2,15.7,26.3,14.2,15.6,17.3,3.7,"0","0"
"Delhi","Rural","50-60%",4.8,2.3,28.7,18.8,19.9,16.5,3.7,0,"2.5","2.7"
"Delhi","Rural","60-70%",1.4,15.9,24,13.3,10.1,24.9,4.7,0,"0","5.6"
"Delhi","Rural","70-80%",3.7,15.1,16.2,7.3,37.9,8.2,0,0,"11.6","0"
"Delhi","Rural","80-90%",5.9,16.6,6.4,41.8,23.2,6.2,0,0,"0","0"
"Delhi","Rural","90-95%",5.6,5,32.2,47.5,5.8,4,0,0,"0","0"
"Delhi","Rural","95-100%",19.4,26.2,30.8,23.5,0,0,0,0,"0","0"
"Delhi","Urban","0-5%",0.4,0.4,0,5.8,17,24.6,18.4,14.8,"6.3","12.4"
"Delhi","Urban","5-10%",0,1.6,1.4,23.6,22.9,23.9,11.3,6.4,"4.9","4"
"Delhi","Urban","10-20%",0.1,0.7,3.1,28.6,36.6,15.3,9.7,3.4,"0.3","2.1"
"Delhi","Urban","20-30%",0.8,2.4,6.6,44.7,26.9,10.3,4.2,1.7,"1.8","0.6"
"Delhi","Urban","30-40%",0.8,6.4,13.5,34.7,26.8,12.5,3.3,0.6,"1.4","0"
"Delhi","Urban","40-50%",1.8,4.6,17.7,35.8,25.3,8.2,4.1,2.5,"0","0"
"Delhi","Urban","50-60%",1.8,13.5,19.4,35.1,14.6,9.6,2.2,1.7,"0.8","1.3"
"Delhi","Urban","60-70%",4.3,11.6,18.5,35.9,17.9,9.6,1.9,0.1,"0.2","0"
"Delhi","Urban","70-80%",8,20.2,19,33.7,12,3.7,1.5,0.8,"0","1"
