,State,0to5,5to10,10to20,20to30,30to40,40to50,50to60,60to70,70to80,80to90,90to95,95to100,overall
1,Andhra Pradesh,2187.48,3017.42,3675.68,4297.06,4858.11,5450.8,6135.65,6910.75,7903.04,9805.83,12589.41,19784.37,6781.76
3,Arunachal Pradesh,2993.08,3758.49,4513.74,5478.44,6349.17,7119.6,7952.68,8922.53,10283.56,12418.13,15719.85,24188.45,8635.53
5,Assam,2148.56,2729.38,3212.42,3813.55,4354.82,4882.7,5496.68,6280.87,7326.29,9004.51,11548.48,17584.86,6135.5
7,Bihar,1738.9,2174.09,2585.23,3017.95,3424.6,3824.8,4265.72,4850.74,5677.47,6971.52,8749.12,13450.8,4767.69
9,Chhattisgarh,1350.23,1818.57,2206.95,2614.77,3041.54,3499.49,3949.4,4462.56,5231.67,6640.28,9134.13,14059.26,4483.11
11,Delhi,2540.33,3310.73,4007.65,4642.55,5235.59,5888.65,6636.16,7662.12,9361.13,12517.58,17634.05,28964.94,8217.48
13,Goa,3855.4,4719.07,5219.68,5926.95,6503.17,6966.8,7696.75,8697.71,9890.8,12005.18,14880.88,25359.67,8733.87
15,Gujarat,2338.74,3036.16,3575.34,4188.12,4734.48,5324.61,5975.5,6708.86,7741.53,9410.03,12198.26,19535.94,6620.72
17,Haryana,2192.14,3098.69,3754.33,4439.04,5095.65,5822.53,6700.26,7908.51,9503.16,12018.07,15452.84,26955.56,7910.51
19,Himachal Pradesh,2449.14,3364.02,3922.77,4636.67,5518.36,6381.68,7299.05,8097.58,9590.8,11775.8,15205.79,26036.94,8075.28
21,Jharkhand,1553.62,2087.44,2492.83,2997.37,3415.94,3876.59,4474.72,5122.75,5974.55,7275.09,9290.26,14400.09,4930.99
23,Karnataka,2396.61,3123.82,3787.12,4503.83,5203.16,5978.93,6809.23,7861.51,9249.62,11410.4,14514.47,23666.2,7665.87
25,Kerala,2282.57,2865.79,3377.72,3913.86,4516.58,5147.82,5862.35,6806.36,8138.58,10436.49,13892.69,26125.75,7078.21
27,Madhya Pradesh,1859.81,2282.88,2654.56,3047.84,3441.27,3867.77,4372.64,5017.4,5883.93,7252.58,9229.7,15290.66,4987.29
29,Maharashtra,2083.09,2689.37,3261.53,3899.65,4507.41,5132.36,5844.88,6709.83,7811.79,9739.46,12585.09,21972.89,6657.03
31,Manipur,2083.13,2620.81,3013.79,3421.8,3826.03,4221.08,4662.69,5208.81,5851.8,6822.67,8072.46,10772.78,4880.46
33,Meghalaya,2006.17,2983.97,3725.07,4311.51,4811.68,5288.84,5783.9,6480.01,7651.22,9229.23,11255.55,17766.18,6433.35
35,Mizoram,3098.0,4077.98,4812.42,5541.74,6164.07,6735.84,7394.96,8085.61,8956.48,10345.28,12161.34,17656.3,7655.03
37,Nagaland,3087.41,3750.85,4324.3,4919.81,5439.84,6099.74,6683.98,7383.21,8257.81,9589.46,11736.73,17948.21,7097.75
39,Odisha,1531.86,2026.69,2406.47,2850.01,3308.33,3871.51,4500.5,5171.6,6229.17,8088.53,10710.18,16601.6,5187.39
41,Punjab,2509.8,3149.31,3672.7,4202.97,4755.37,5308.59,5968.44,6686.86,7673.81,9324.5,11614.36,18434.6,6543.51
43,Rajasthan,2076.95,2612.19,3138.23,3635.34,4113.03,4604.69,5201.01,5929.39,6973.73,8591.02,10930.3,18301.92,5913.06
45,Sikkim,4522.95,5842.4,6895.72,7739.64,8722.45,9658.61,10698.49,12005.99,13857.45,17821.44,23357.26,33634.53,12105.11
47,Tamil Nadu,2649.17,3452.78,4101.18,4827.85,5460.95,6142.49,6928.86,7827.26,9031.19,10937.27,14071.08,21884.66,7630.04
49,Telangana,3094.34,3839.46,4419.8,5075.64,5741.56,6493.81,7307.22,8367.03,9712.78,11788.75,15053.23,23355.76,8158.44
51,Tripura,3309.08,4032.6,4561.25,5186.16,5708.85,6269.24,6884.82,7583.62,8534.73,10136.19,12398.29,18706.41,7404.69
53,Uttar Pradesh,1819.7,2299.44,2671.16,3101.24,3510.74,3910.62,4389.67,4979.26,5819.24,7199.12,9375.56,16150.13,5040.41
55,Uttarakhand,2206.37,2820.19,3418.79,4233.68,4842.01,5501.79,6310.69,7351.4,8679.99,10367.09,12670.29,20957.37,7004.37
57,West Bengal,1723.25,2252.07,2689.36,3122.48,3552.59,4054.56,4629.87,5303.83,6274.7,7795.6,10149.12,16376.1,5267.2
59,Andaman & N. Island,4007.29,5168.04,5940.37,6921.4,7698.64,8523.65,9526.35,10569.17,11978.25,14276.74,18470.83,26890.07,10268.15
61,Chandigarh,4348.1,5087.35,6227.47,7523.87,8727.49,10487.96,12014.61,13900.29,16180.24,18739.68,22633.64,31754.59,12575.27
63,Dadra & Nagar Haveli and Daman & Diu,3012.63,3645.77,4090.44,4568.01,4920.58,5331.56,5932.35,6602.31,7452.12,8744.41,10350.03,13626.19,6298.5
65,Jammu & Kashmir,2300.73,3054.71,3609.61,4234.17,4750.12,5341.65,5865.63,6457.25,7321.35,8582.1,10056.52,15798.91,6178.5
67,Ladakh,1947.9,2573.8,3169.37,3882.65,4496.36,5087.31,5840.15,6646.68,7785.66,9491.95,11706.2,15316.23,6214.51
69,Lakshadweep,2830.92,3157.09,3512.16,3889.79,4213.27,4599.21,5034.44,5574.35,6321.35,7381.64,8982.48,13441.45,5474.78
71,Puducherry,2393.2,3486.38,4593.41,5416.95,6120.16,6688.53,7408.17,8168.43,8972.44,10726.01,13181.87,18996.42,7706.44
73,India,2001.09,2606.55,3156.92,3762.33,4347.81,4963.32,5661.69,6523.85,7673.14,9582.39,12399.18,20823.69,6458.69
